trial	object	start_pos	obj_angle	obj_material	table_height	feedback	vertical	symmetry	occluded
1	unten_sym	S	90	1	0.8	hand	1	1	no
2	unten_asym	S	90	2	0.8	hand	1	0	no
3	mitte_sym	S	90	3	0.8	hand	2	1	no
4	mitte_asym	S	90	4	0.8	hand	2	0	no
5	oben_sym	S	90	5	0.8	hand	3	1	no
6	oben_asym	S	90	6	0.8	hand	3	0	no
7	sphere	S	90	0	0.8	hand	-1	-1	no
8	unten_sym	S	90	1	0.8	hand	1	1	no
9	unten_asym	S	90	2	0.8	hand	1	0	no
10	mitte_sym	S	90	3	0.8	hand	2	1	no
11	mitte_asym	S	90	4	0.8	hand	2	0	no
12	oben_sym	S	90	5	0.8	hand	3	1	no
13	oben_asym	S	90	6	0.8	hand	3	0	no
14	sphere	S	90	0	0.8	hand	-1	-1	no
15	unten_sym	S	215	1	0.8	hand	1	1	no
16	unten_asym	S	215	2	0.8	hand	1	0	no
17	mitte_sym	S	215	3	0.8	hand	2	1	no
18	mitte_asym	S	215	4	0.8	hand	2	0	no
19	oben_sym	S	215	5	0.8	hand	3	1	no
20	oben_asym	S	215	6	0.8	hand	3	0	no
21	sphere	S	215	0	0.8	hand	-1	-1	no
22	unten_sym	S	215	1	0.8	hand	1	1	no
23	unten_asym	S	215	2	0.8	hand	1	0	no
24	mitte_sym	S	215	3	0.8	hand	2	1	no
25	mitte_asym	S	215	4	0.8	hand	2	0	no
26	oben_sym	S	215	5	0.8	hand	3	1	no
27	oben_asym	S	215	6	0.8	hand	3	0	no
28	sphere	S	215	0	0.8	hand	-1	-1	no
29	unten_sym	S	0	1	0.8	hand	1	1	no
30	unten_asym	S	0	2	0.8	hand	1	0	no
31	mitte_sym	S	0	3	0.8	hand	2	1	no
32	mitte_asym	S	0	4	0.8	hand	2	0	no
33	oben_sym	S	0	5	0.8	hand	3	1	no
34	oben_asym	S	0	6	0.8	hand	3	0	no
35	sphere	S	0	0	0.8	hand	-1	-1	no
36	unten_sym	S	0	1	1.2	hand	1	1	no
37	unten_asym	S	0	2	1.2	hand	1	0	no
38	mitte_sym	S	0	3	1.2	hand	2	1	no
39	mitte_asym	S	0	4	1.2	hand	2	0	no
40	oben_sym	S	0	5	1.2	hand	3	1	no
41	oben_asym	S	0	6	1.2	hand	3	0	no
42	sphere	S	0	0	1.2	hand	-1	-1	no
43	unten_sym	S	0	1	0.8	hand	1	1	no
44	unten_asym	S	0	2	0.8	hand	1	0	no
45	mitte_sym	S	0	3	0.8	hand	2	1	no
46	mitte_asym	S	0	4	0.8	hand	2	0	no
47	oben_sym	S	0	5	0.8	hand	3	1	no
48	oben_asym	S	0	6	0.8	hand	3	0	no
49	sphere	S	0	0	0.8	hand	-1	-1	no
50	unten_sym	S	0	1	1.2	hand	1	1	no
51	unten_asym	S	0	2	1.2	hand	1	0	no
52	mitte_sym	S	0	3	1.2	hand	2	1	no
53	mitte_asym	S	0	4	1.2	hand	2	0	no
54	oben_sym	S	0	5	1.2	hand	3	1	no
55	oben_asym	S	0	6	1.2	hand	3	0	no
56	sphere	S	0	0	1.2	hand	-1	-1	no
57	unten_sym	S	135	1	1.2	hand	1	1	no
58	unten_asym	S	135	2	1.2	hand	1	0	no
59	mitte_sym	S	135	3	1.2	hand	2	1	no
60	mitte_asym	S	135	4	1.2	hand	2	0	no
61	oben_sym	S	135	5	1.2	hand	3	1	no
62	oben_asym	S	135	6	1.2	hand	3	0	no
63	sphere	S	135	0	1.2	hand	-1	-1	no
64	unten_sym	S	135	1	1.2	hand	1	1	no
65	unten_asym	S	135	2	1.2	hand	1	0	no
66	mitte_sym	S	135	3	1.2	hand	2	1	no
67	mitte_asym	S	135	4	1.2	hand	2	0	no
68	oben_sym	S	135	5	1.2	hand	3	1	no
69	oben_asym	S	135	6	1.2	hand	3	0	no
70	sphere	S	135	0	1.2	hand	-1	-1	no
